id,tweet,processed_tweet,emotion
1077,el padre del virus de la corona medios indio que no sólo está haciendo el trabajo de la India para crear un nuevo agujero en el mundo con sus falsos falsos medios indios - en el palacio Kapilvastu,padre virus corona medio indio no sólo hacer trabajo india crear nuevo agujero mundo falso falso medio indio palacio,sad
1078,"""\""Paraguay alerta que su sistema hospitalario esta al borde debido al coronavirus: 97% de camas ocupadas https://t.co/XN5VZsrv2G https://t.co/4vP0hSmNxP\""""",paraguay alertar sistema hospitalario borde debido coronavirus cama ocupado,sad
1079,"""\""Pfizer-BioNTech confirman que su vacuna Covid es efectiva contra variantes del Reino Unido y Sudáfrica\""""",confirmar vacuna covid ser efectivo variante reino unido,happy
1080,Georgia pospone primaria presidencial después temores coronavirus convirtiéndose en el segundo estado para mover su elección 1584229533 ... Newsweek,posponer primaria presidencial después temor coronavirus convertir segundo mover elección,fear
1081,"""\""Esri lanza una solución que facilita la campaña de vacunación por #COVID19 dirigida a gestionar y monitorizar el proceso en tiempo real, desde la logística hasta la comunicación ciudadana, permitiendo optimizar recursos y efectivos empleados. https://t.co/kOIzabOUIz\""""",lanzar solución facilitar campaña vacunación covid dirigido gestionar monitorizar proceso tiempo real logística comunicación ciudadano permitir optimizar recurso efectivo empleado,happy
1082,"""\""📰 Cuatro nuevas muertes elevan el total de víctimas de la pandemia en Galicia a 2.256\\n\\nhttps://t.co/yAq1aXPJof\""""",cuatro nuevo muerte elevar total víctima pandemia,sad
1083,"""\""Esto no ha terminado... https://t.co/esMceffJjz\""""",no haber terminar,sad
1084,"""\""El #Ibex35 despierta plano y se aferra a los 8.500 puntos, pendiente de resultados y vacunas\\nhttps://t.co/gDxwXO87UF\""""",despertar plano aferrar punto pendiente resultado vacuna,not-relevant
1085,"""\""Enfermeras: ok 0 peso. https://t.co/D4GpB1ngKS\""""",enfermera peso,not-relevant
1086,"""\""Derrotar al covid es Sánchez e Iglesias? \\n\\nLos españoles estais muy mal... https://t.co/XARWnRFxTd\""""",derrotar covid ser iglesia español mucho mal,angry
1087,"""\""El concepte \\\""a alguien que esté por ahí\\\""\\n\\n\\\""Yo solo era un señor que pasaba por ahí\\\"" https://t.co/W8iJVKIjt7\""""",alguien ahí solo ser señor pasar ahí,not-relevant
1088,tocador de triunfo justo ahora culpar a los estadounidenses por no tener pruebas de coronavirus que no existen Trump ha fallado al pueblo estadounidense primero que culpa presidente obama ahora se culpa al pueblo estadounidense por el coronavirus un mentiroso que engaña a sí mismo a través de,tocador triunfo justo ahora culpar estadounidense no tener prueba coronavirus no existir haber fallar pueblo estadounidense primero culpar presidente ahora culpar pueblo estadounidense coronavirus mentiroso engañar mismo través,angry
1089,David Clarke dice coronavirus es sólo “la gripe maldita” nominal pantalones en el fuego por PolitiFact - a través de factstream,decir coronavirus ser sólo gripe nominal pantalón fuego través,angry
1090,"""\""Esta pandemia nos ha desnudado éticamente a todos y nos ha demostrado nuestro verdadero nivel de empatía. El egoísmo y oportunismo que algunos privilegiados han demostrado es patético.\""""",pandemia haber desnudar haber demostrar verdadero nivel empatía egoísmo oportunismo alguno privilegiado haber demostrar ser patético,angry
1091,coronavirus es jugar mi dinero hasta $ mala daveyle,coronavirus ser jugar dinero malo,fear
1092,diversión redefinido en el bloqueo ...,diversión redefinido bloqueo,happy
1093,no me importa si está enfermo salir como grosero / extraño cuando me saque mi de alcohol y de repente lo rocía por todo el cuerpo y el espacio delante de mí jajaja duh listo nga AKO Gawin niebla ang alcohol aerosol sana ikaw rin,no importar si enfermo salir grosero extraño sacar alcohol repente rocíar cuerpo espacio delante jajaja listo niebla alcohol aerosol sano,fear
1094,"Entiendo que si pkp extendió después décima cuarta abril, pero todavía un poco triste i no llegó a celebrar el ramadán con mi familia bien, siempre y cuando la situación se pone mejor covid19 continuación, voy a tener que cumplir",entender si extender después décimo cuarto abril todavía poco triste no llegar celebrar familia bien siempre situación poner mejor covid continuación ir tener cumplir,sad
1095,madres en el hospital por lo que puede decir no en corona pero tiene MDS y está sometido a quimioterapia por lo que su sistema inmunológico es muy débil en el mejor muy preocupado por ella en este momento y no se les permite ver a ella mientras está en el aislamiento debido al virus,madre hospital poder decir no corona tener sometido quimioterapia sistema inmunológico ser mucho débil mejor mucho preocupado momento no permitir ver mientras aislamiento debido virus,fear
1096,"""\""me cago en la puta madre que parió a todas las ratas sentadas en el Congreso https://t.co/uQWIy88LDV\""""",caer puto madre parir rata sentado congreso,angry
1097,veranos aquí ahora empieza mi confinamiento personal de 3 meses,verano aquí ahora empezar confinamiento personal mes,happy
1098,"""\""No bajemos la guardia, sigamos cuidándonos.\\n#UsaMascarilla😷\\n#CuidémonosEntreTodos https://t.co/9LmAaCj9CT\""""",no bajar guardia seguir cuidar,not-relevant
1099,"am m asim naseer de la ciudad de Faisalabad Pakistán necesito ir a Pakistán de emergencia porque mi padre vejez y aloot fevar en Faisalabad hospital de turno, pero no voy a causa del vuelo cercanos a Emiratos Árabes Unidos ABRTA (virus de la corona) tema",ciudad necesitar ir emergencia padre vejez hospital turno no ir causa vuelo cercano emirato árabe unido virus corona tema,sad
1100,"""\""📌 ESCANDALOSO: Pfizer no se responsabiliza de los efectos secundarios de las vacunas. ¿Y ahora qué? ¿Siguen Ud. estando seguros de vacunarse? ¿Se compraría Ud. un mísero microondas que no tuviera la garantía de la empresa que lo fabrica? En fin, cada cual es libre ⬇️⬇️ https://t.co/MoPWmkjQjW\""""",escandaloso no responsabilizar efecto secundario vacuna ahora seguir seguro vacunar comprar mísero microondas no tener garantía empresa fabricar fin cada ser libre,angry
1101,"""\""Primera dosis puesta✅ #Pfizer\""""",primero dosis puesto,happy
1102,"""\""Comité de Afectados por Apagones: Fallas eléctricas perjudican a pacientes con Covid-19 que dependen de concentradores de oxígeno https://t.co/WHjlpoiGJe\""""",comité afectado apagón falla eléctrico perjudicar paciente covid depender concentrador oxígeno,sad
1103,mubarak sparkling_heart orar por la humanidad rezar palms_up_together para el mundo palms_up_together Que Allah nos perdone todo Que Allah nos proteja a todos de esta pandemia _19 ameen sumameen palms_up_together - en la fase de la ciudad Ghouri 5 Islamabad,orar humanidad rezar mundo perdonar proteger pandemia amen fase ciudad,happy
1104,"¿hay vuelos de salida VBM desde Mumbai a Dubai mi padre 89 años de edad h l Ajwani está varado viviendo completamente solo, debido a lockdown favor se puede arreglar para traerlo a Dubai 971506407233",haber vuelo salida padre año edad varado vivir completamente solo debido favor poder arreglar traer,sad
1105,empleado de Google Bangalore positivo por coronavirus y la oficina parque cierra abajo dicen correos electrónicos,empleado positivo coronavirus oficina parque cerrar abajo decir correo electrónico,angry
1106,La guía del idiota a coronavirus de un médico de urgencias a través,guía idiota coronavirus médico urgencia través,angry
1107,y pensar que en febrero mi mayor preocupación por la marcha estaba quedando sin bolsas de plástico,pensar febrero mayor preocupación marcha quedar bolsa plástico,fear
1108,agarrando bocado a la cajera atl tomó un texto mientras me sirve aparentemente Lakeisha tiene coronavirus y no estará en ninguno de nosotros parecía importarle lo único que queríamos nuestra comida estúpida,agarrar bocado cajera tomar texto mientras servir aparentemente tener coronavirus no ninguno parecer importar único querer comida estúpido,angry
1109,"Ya estoy volviendo loco por el coronavirus y yo, ciertamente, no necesita el “ser mejor” reina expulsando todo lo que no, gracias",volver loco coronavirus ciertamente no necesitar reina expulsar no gracias,angry
1110,"""\""Se dan cuenta lo peligroso e ineficiente que es tener idiotas como los del municipio de Gye. Primero desperdician dinero en ivermectina, luego intentan estafar a Gye con promesas que desde hace un mes sabíamos no iban a cumplir.\\n\\nNos gobierna un zoológico. https://t.co/pl4PjSlvIb\""""",dar cuenta peligroso ineficiente ser tener idiota municipio primero desperdiciar dinero luego intentar estafar promesa hacer mes saber no ir cumplir gobernar zoológico,angry
1111,"""\""Polémica por el concierto de El Drogas en Madrid con las cifras de contagios disparadas #horizonte #mileniolive me parece muy arriesgado permitir conciertos en Espacios cerrados con la que está cayendo de COVID en Madrid y en España  https://t.co/bDFhjhrv2T\""""",polémica concierto droga cifra contagio disparado horizonte parecer mucho arriesgado permitir concierto espacio cerrado caer covid,angry
1112,"""\""Bueno, resulta que llegó el día en que me anoté para la vacuna. Veremosss 🤐\""""",bueno resultar llegar día anotar vacuna ver,not-relevant
1113,"""\""Qué puta poca vergüenza tiene esta panda. Se han pagado las horas extras que han tenido que hacer los funcionarios por la pandemia. Funcionarios como los médicos, enfermeros, celadores... https://t.co/Wh32fRbxhF\""""",puta poco vergüenza tener panda haber pagar hora extra haber tener hacer funcionario pandemia funcionario médico enfermero celador,angry
1114,esto es lo que lockdown muestra hasta el 31 dic 2020 nadie tienen los padres temen que no están preocupados de que hay esperanza childred porque hay bienestar en futuro sector 7 palces colonly policía debe dar una ronda después de 2 a 4 horas de pie en las calles no va a funcionar pic Twitter com / j9q6vjgug9 - en el sector 6 Bahadurgarh,ser mostrar nadie tener padre temer no preocupado haber esperanza haber bienestar futuro sector policía deber dar ronda después hora pie calle no ir funcionar sector,fear
1115,"""\""Economía y Políticas Sociales publicará una orden que establecerá medidas contra el covid según el nivel de riesgo de cada momento y que contempla restricciones excepcionales cuando Melilla acumule en dos semanas más de 500 casos por cada 100.00 habitantes https://t.co/HOvNJvBwZG https://t.co/ZegA7PzlqK\""""",economía política social publicar orden establecer medida covid según nivel riesgo cada momento contemplar restricción excepcional acumular dos semana caso cada habitante,not-relevant
1116,"""\""La nueva cepa de #COVID19 está asolando países de África austral.  Todavía no ha llegado ni una sola #vacuna, y no se cuenta con que lleguen en los próximos meses.  La distribución desigual está costando muchas vidas.\\n#SinPatentesEnPandemia 👉 https://t.co/MK45aaNZSB https://t.co/KNfexzKBtQ\""""",nuevo cepa covid asolar país áfrica austral todavía no haber llegar solo vacuna no contar llegar próximo mes distribución desigual costar mucho vida,sad
1117,Un abrumador para el Gobierno de la India y Telangana y los médicos y ya todo el personal de gestión de la hospitalidad y de toda la lucha contra el departamento de policía de _19india arriesgar su vida para salvar a las personas de manera que un ciudadano indio responsables,abrumador gobierno india médico personal gestión hospitalidad lucha departamento policía india arriesgar vida salvar persona manera ciudadano indio responsable,sad
1118,Estoy tan feliz Billie dije algo acerca de porque no hay tantos adolescentes y jóvenes que no se da cuenta de lo intenso y gravedad de la situación es que tenemos que tomar tantas precauciones como podemos ahora antes de que sea demasiado tarde,feliz decir acerca no haber adolescente joven no da cuenta intenso gravedad situación ser tener tomar precaución poder ahora ser demasiado tarde,fear
1119,"a continuación, vamos a LockDown todo el hospital público de y le dice al público que quedarse en casa o bien ir a los hospitales privados el Gobierno deberá entonces no impuesto por cobrar por parte del público cuando no son capaces de proporcionar los servicios de salud y educación de calidad ー 19",continuación ir hospital público decir público quedar casa bien ir hospital privado gobierno deber entonces no imponer cobrar parte público no ser capaz proporcionar servicio salud educación calidad,sad
1120,sin él no sufría de covid noticias falsas,no sufrir covid noticia falso,sad
1121,"""\""Las cuentas de la llegada de vacunas contra el covid-19 a Colombia https://t.co/nU2HkuaiUM\""""",cuenta llegada vacuna covid,not-relevant
1122,así que hay una cura potencial para el coronavirus y la noticia salta de nuevo en el tren crisis climática no te,así haber cura potencial coronavirus noticia saltar nuevo tren crisis climático no,fear
1123,"""\""“No ha habido aglomeraciones” con dos cojones. La universidad española huele a rancio. https://t.co/xQd8IkcUZZ\""""",haber haber dos universidad español oler rancio,angry
1124,complacientes porque ébola nunca se infectó el mundo y creía lo mismo sucedería con los expertos creían esto y lo hicieron porque creyeron y siguieron el resto de ellos y ahora estamos en un lío porque cada uno cree que sí advirtió hace semanas de uso,complacient nunca infectar mundo creer mismo suceder experto creer hacer creer seguir resto ahora lío cada creer advertir hacer semana uso,angry
1125,"es el derecho de los medios de comunicación es revisionista cheque a cabo estos dos titulares 2/4 ""prohibición de viajar cuarentena coronavirus podría ser contraproducente expertos temen"" 3/3 ""mala gestión de combustible ayudado crisis coronavirus""",ser derecho medio comunicación ser revisionista cheque cabo dos titular prohibición viajar cuarentena coronavirus poder ser contraproducente experto temer malo gestión combustible ayudado crisis coronavirus,angry
1126,mi ex novio tiene coronavirus estancia lejos de él x x x,ex novio tener coronavirus estancia lejos,angry
1127,"""\""Pero no entienden!! https://t.co/I2CsgCe4gw\""""",no entender,angry
1128,"que debería haber hecho que las preocupaciones del público ¿por qué no expresarlas sabías, pero no informó al resto de nosotros acerca",deber haber hacer preocupación público no expresar saber no informar resto acerca,angry
1129,el legado que se mantienen en la familia el nombre de Robert no va bien con el electorado de corona de bloqueo hacia abajo se ha utilizado para el lanzamiento del nuevo titular tiene convenientemente apellido Gandhi y tener curso acelerado para cenar con los pobres y mostrar simpatía por ellos antes de que se puso en marcha en la política pic Twitter com / rczzxjdvxj,legado mantener familia nombre no ir bien electorado corona bloqueo hacia abajo haber utilizar lanzamiento nuevo titular tener convenientemente apellido tener curso acelerado cenar pobre mostrar simpatía poner marcha política,sad
1130,"hacía frío que no tenía clases hoy en mi escuela, pero mal porque alguien en mi escuela ha estado expuesto a virus de la corona y ahora está en cuarentena este virus en serio se ha convertido en una pesadilla esto es una mierda culo suma miedo lo rápido que se está extendiendo",hacer frío no tener clase hoy escuela mal alguien escuela haber expuesto virus corona ahora cuarentena virus serio haber convertir pesadilla ser mierda culo sumar miedo rápido extender,angry
1131,"""\""Las autoridades de Alemania han confirmado este martes cerca de mil muertos por coronavirus durante el último día, un importante repunte tras el descenso de las cifras a raíz del fin de semana, según los datos recogidos por el Instituto Robert Koch (RKI) ... https://t.co/QR8X7aYiL1\""""",autoridad haber confirmar martes cerca mil muerto coronavirus último día importante repunte tras descenso cifra raíz fin semana según dato recogido instituto,sad
1132,"[Su vida no mejoran por casualidad su conseguir mejor por el cambio] se ha visto afectado por la crisis covid 19 round_pushpin una reducción de salario por su empresa round_pushpin trabajando extremadamente duro, mientras que la gestión de sus hijos en el hogar ...",vida no mejorar casualidad conseguir mejor cambio haber ver afectado crisis covid reducción salario empresa trabajar extremadamente duro mientras gestión hijo hogar,sad
1133,"""\""#RT @ESPNtenis: Cuarto día de cuarentena en #Melbourne, y el que se animó a dejar su desafío fue el último campeón del ATP de #BuenosAires, Casper Ruud.  🔮✨💥 ¿Qué puntaje le ponés?\\n\\n📽️: casperruud (IG)\\n\\n#AUSTRALIAxESPN https://t.co/G5CkQYawxw\""""",cuarto día cuarentena animar dejar desafío ser último campeón,not-relevant
1134,Hoy me siento kaashh “Yogiji” era nuestro ministro de salud Chun Chun k lete clase,hoy sentir ser ministro salud clase,happy
1135,los cerezos en flor winking_face,cerezo flor,happy
1136,"""\""Alguien me resuelve una duda?? en la tele han dicho que no se puede pernoctar en tu coche durante el confinamiento nocturno, pero si tienes una furgoneta que sea furgón vivienda o autocaravana?? Sería posible?? En el BOE no aclara nada de eso. #camper #covid19 #confinamiento\""""",alguien resolver duda tele haber decir no poder pernoctar coche confinamiento nocturno si tener furgoneta ser furgón vivienda ser posible no aclarar covid confinamiento,not-relevant
1137,sus científicos e investigadores merecen más que sus jugadores,científico investigador merecer jugador,happy
1138,Hola a todos ¿cómo está usted en ciudad inteligente ...,hola cómo usted ciudad inteligente,happy
1139,mis alergias me están jodiendo tan mal en este momento y Marquis es la de preguntar por allí gritando tengo el coronavirus que alguien venga a buscar que sirve al favor,alergia jodeir mal momento ser preguntar allí gritar tener coronavirus alguien venir buscar servir favor,angry
1140,viendo zumbido de aproximadamente triste es el hecho de que nadie en el dijo cuando está cerrado en enero es un crimen que perdimos L a única oportunidad que teníamos para salir adelante de esto y ahora la gente está sufriendo,ver zumbido aproximadamente triste ser hecho nadie decir cerrado enero ser crimen perder único oportunidad tener salir adelante ahora gente sufrir,sad
1141,"""\""#Alemania: Primer centro militar de vacunación \\n\\n24h comienza campaña https://t.co/fQAwdrG5pc  \\n\\n#Covid #Covid-19 #Covid_19 #Coronavirus\""""",primero centro militar vacunación comenzar campaña covid covid covid coronavirus,not-relevant
1142,cómo gimnasios en la QCA están preparando sobre las preocupaciones de coronavirus,cómo gimnasio preparar preocupación coronavirus,fear
1143,"""\""A un día de comenzar la #Cuaresma2021 recordamos las indicaciones de la Santa Sede para el Rito de imposición de la Ceniza en tiempos de #Covid19 https://t.co/iFQgWSvHD8\""""",día comenzar cuaresma recordar indicación santo sede rito imposición ceniza tiempo covid,not-relevant
1144,"""\""En mi colegio electoral todo esta muy mal organizado. Colas en el acceso, nadie organiza las filas y eso si, ponte una mascarilla encima de otra... lástima que tanto empeño sanitario de la CAM no lo hubiera hecho durante el resto del año\""""",colegio electoral mucho mal organizado cola acceso nadie organizar fila si poner mascarilla encima lástima empeño sanitario no haber hacer resto año,angry
1145,"Dios es grande folded_hands mi señor ""Shiva"" por favor remueve alrededor de toda la vida estable mundo a ahorrar de las personas Rajeev Kumar Sharma folded_hands",dios ser grande señor favor remover alrededor vida estable mundo ahorrar persona,happy
1146,viniendo de un tipo que mintió al Congreso y organizó el golpe más grande de nuestra historia los países para acabar con un virus presidente de corona virus estado sin profundidad,venir tipo mentir congreso organizar golpe grande historia país acabar virus presidente corona virus profundidad,angry
1147,"""\""🏥👍 Hoy 12 de mayo es el Día Internacional de la Enfermería.\\nLos y las profesionales sanitarias piden mejoras laborales y condiciones para trabajar, pero ahora más que nunca piden #RESPONSABILIDAD a toda la ciudadanía ante esta difícil pandemia del #COVID19.\\n#salud #Canarias https://t.co/502ewl3bgt\""""",hoy mayo ser día internacional enfermería profesional sanitario pedir mejora laboral condición trabajar ahora nunca pedir responsabilidad ciudadanía difícil pandemia covid salud canario,not-relevant
1148,"“Hoy en día la humanidad se enfrenta a una crisis aguda, no sólo debido a la coronavirus, sino también debido a la falta de confianza entre los seres humanos para derrotar una epidemia la gente tiene que confiar en los expertos científicos ciudadanos necesitan confiar en las autoridades públicas y los países necesitan ...",día humanidad enfrentar crisis agudo no sólo debido coronavirus sino debido falta confianza ser humano derrotar epidemia gente tener confiar experto científico ciudadano necesitar confiar autoridad público país necesitar,fear
1149,señor bien hecho y señor _consession_rjd _learn_to_congress_party / tnp3bjnjze,señor bien hecho señor to,happy
1150,"""\""OTRO ESCANDALO, RECHAZAN VACUNAS RUSAS, CON GARANTÍA CONTRA CUALQUIER EFECTO SECUNDARIO.\\nSOLO POR ACEPTAR LAS CHINAS, MÁS  CARAS Y MENOS EFICACES\\n\\nAHORA SAGASTI, CUAL ES TU ESCUSA.\""""",rechazar vacuna ruso garantía cualquiera efecto secundario aceptar china caro menos eficaz ser escusa,angry
1151,"""\""PSUVTachira: RT @NicolasMaduro: Cada vez hay mayor conciencia en nuestro pueblo sobre esta batalla ardua contra la Pandemia del Coronavirus. Juntos hemos logrado detener el crecimiento de los contagios, sin embargo, es necesario tener mayores niveles de … https://t.co/9MZu3KOc5C\""""",cada vez haber mayor conciencia pueblo batalla arduo pandemia coronavirus junto haber lograr detener crecimiento contagio embargo ser necesario tener mayor nivel,not-relevant
1152,coronavirus no es una mierda mi ex era más tóxico,coronavirus no ser mierda ex ser tóxico,fear
1153,"¿Cómo puede u tenga miedo del virus de la corona, pero no una ETS tengo curiosidad",cómo poder u miedo virus corona no tener curiosidad,fear
1154,los EE.UU. ha probado menos de 7 000 personas hasta ahora para estáis de broma ¿Es una broma,u haber probar menos persona ahora broma ser broma,angry
1155,NVR tenía tales como de rulng de que dosnt apprct su undr strtd frm 2 ahora TestNG CNTRS 41 TTL TST 2 12 985 10 00 almst / día wth baja pstvty y HGH dschrg rt gvng flse información rgrdg rprts pndng,tener tal ahora día baja información,sad
1156,"""\""Hoy inicia la jornada de vacunación 💉 Contra el COVID-19 primera dosis para adultos mayores de 60 corregimiento de Santa Ana #minuevosantaana✌🏾❤️ Preparados para brindar nuestro compromiso de voluntad y servicio a la comunidad @JCSantaAna @patronatostaana #minuevosantaana✌🏾❤️ https://t.co/TA0lrku5Wk\""""",hoy iniciar jornada vacunación covid primero dosis adulto mayor corregimiento santa amor preparado brindar compromiso voluntad servicio comunidad amor,happy
1157,que es la idea es que el empleado tiene que poner la mano allí por toda nuestra cerveza para abrirlo así es como usted separa,ser idea ser empleado tener poner mano allí cerveza abrir así ser usted separar,angry
1158,honestos que no sabemos que vota en estas encuestas han comprado todavía presa del pánico,honesto no saber votar encuesta haber comprar todavía presa pánico,angry
1159,"""\""Iv&amp;rmectin@ salva vidas. https://t.co/Rlm4mVE8Sf\""""",salir vida,happy
1160,"""\""23 de febrero y las ambulancias subcontratadas de @osakidetzaEJGV @Gob_eus sin vacunar. Trabajadores de primera línea... Dice #Sagardui que esta semana nos vacunan, y es martes y no sabemos nada. @eitbNoticias @radioeuskadi #COVID19 https://t.co/aSCYYBiwXK https://t.co/ICZlPDauuc\""""",febrero ambulancia vacunar trabajador primero línea decir semana vacunar ser martes no saber covid,angry
1161,"""\""Exacto! La siempre confiable N95 https://t.co/x5TPdyiFH3\""""",exacto siempre confiable,not-relevant
1162,feliz todo el mundo mareado ramadan mayo de este Ramadán trae paz y felicidad y que la corona mundo libre y seguro de nuevo ameen,feliz mundo mareado mayo traer paz felicidad corona mundo libre seguro nuevo amar,happy
1163,como si yo no estaba loco antes de que yo estoy enojado ahora el coronavirus cancelado el festival de arce cogida esta mannn,si no loco enojado ahora coronavirus cancelado festival arce cogido man,fear
1164,jefe Pattnaik ministro Naveen un llamamiento a todas las personas Odisha a cantar * vandeutkaljanani * en * 5 30 pm el 30 de mayo * animar a los guerreros covid y mostrar respeto a su sacrificio,jefe ministro llamamiento persona cantar mayo animar guerrero covid mostrar respeto sacrificio,sad
1165,incompetencia columbia u Médico de respuesta federal al coronavirus ‘aficionado bruto horas incompetencia',incompetencia u médico respuesta federal coronavirus bruto hora incompetencia,fear
1166,"por lo general, creo que mis amigos más introvertidas se benefician de tener socios extrovertidas ahora yo preferiría que todos ellos estaban con otras personas introvertidas",general creer amigo introvertido beneficiar tener socio extrovertido ahora preferir persona introvertido,angry
1167,"""\""Un grupo de mayores no ha accedido aún a la vacuna por problemas en la base de datos del SAS y otras incidencias 😷 #COVID19 #Sevilla #vacunación https://t.co/QMq4KKtF8h\""""",grupo mayor no haber acceder aún vacuna problema base dato incidencia covid vacunación,sad
1168,"""\""@unchinodechina @hezmick La mejor forma de hacer las cosas bien, ha sido China y su Gobierno, gestionó perfectamente la pandemia en Huang, con millones de habitantes, desapareció del mapa el virus y sus mutaciones. Soy optimista porque aprendo de la sabiduría de China, y de cómo se hacen las cosas bien.\""""",mejor forma hacer cosa bien haber ser chino gobierno gestionar perfectamente pandemia millón habitante desaparecer mapa virus mutación ser optimista aprender sabiduría china cómo hacer cosa bien,happy
1169,gracias al parecer gilipollas es necesaria; helados con el fin de sobrevivir Twitter com / ftouddzo83,gracias parecer gilipollas ser necesario helado fin sobrevivir,angry
1170,la gran decisión de uno de los valientes ae Kim Ju contra la batalla covid el mundial se enfrenta desde diciembre - en corriente continua bahawalpur hasta los topes,gran decisión valiente ju batalla covid mundial enfrentar diciembre corriente continuo top,happy
1171,"""\""Vivo en un país en el que cantar o tuitear contra la corona como Hásel, parar desahucios como Isa Serra o decir que la democracia no es plena como Pablo Iglesias es malo pero decir que vivimos en dictadura, conseguir un master por la cara o salir huyendo a Abu Dabi es bueno.\""""",vivir país cantar tuitear corona parar desahucio isa sera decir democracia no ser pleno iglesia ser malo decir vivir dictadura conseguir cara salir huir ser bueno,angry
1172,"""\""No podemos cambiar el pasado!\\nNo podemos devolver la vida a los que se han ido por un gobierno mentiroso que ocultó la pandemia!\\nNo podemos acabar con la ruina que ha causado el social comunismo en tan poco tiempo!\\nPero sí podemos evitar que arruinen la CAM y dar un primer\\n⬇️⬇️\""""",no poder cambiar pasado no poder devolver vida haber ir gobierno mentiroso ocultar pandemia no poder acabar ruina haber causar social comunismo poco tiempo poder evitar arruinar dar primero,angry
1173,la bienvenida aquí en xd corona,bienvenida aquí jajaja corona,happy
1174,"""\""👩‍🔬 | Preguntas y respuestas sobre la vacuna de AstraZeneca y qué pasa con los miles de salmantinos que la han recibido\\nhttps://t.co/pjJsd0Y6kf https://t.co/7cPzEUDVxb\""""",pregunta respuesta vacuna pasar mil salmantino haber recibir,not-relevant
1175,"no transferencias ilimitados, pero 1 o 2 transferencias gratuitas adicionales serían grandes y mantenerlo como lo era antes covid",no transferencia ilimitado transferencia gratuito adicional ser grande mantener ser covid,happy
1176,este terrorista gobar ha vuelto completamente GObar que son todos de vuelta a su gaumutra pm ni siquiera habla a cms de sus estados de la India coronavirus sospechan que huyen de los hospitales porque saben los médicos extirpan órganos vitales y los venden thugstan colgar su cabeza de vergüenza,terrorista haber volver completamente ser vuelta siquiera hablar india coronavirus sospechar huir hospital saber médico extirpar órgano vital vender colgar cabeza vergüenza,angry
1177,esto es una especie de enorme irresponsable porque una vez que los espectadores ven zorro tratamiento coronavirus como algo aoc defiende que no van a hacerlo republicanos comprado deliberadamente bombillas incandescentes porque florescents eran una cosa liberal,ser especie enorme irresponsable vez espectador ver zorro tratamiento coronavirus defender no ir hacer republicano comprado deliberadamente bombilla incandescent ser cosa liberal,angry
1178,inmediatamente prohibir thetabligi jamat la spraderer del virus de la corona,inmediatamente prohibir virus corona,angry
1179,"Kejriwal sahab gasta decenas de millones si el dinero en publicidad, pero no tienen dinero para nuestros guerreros de salud que son de corona 24 * 7 arriesgando sus vidas sólo para salvar la nuestra / skjpwef5wf",gastar decena millón si dinero publicidad no tener dinero guerrero salud ser corona arriesgar vida sólo salvar,happy
1180,"""\""Las vacunas llegaron hace días y el ministro sacando excusas. https://t.co/0GyXO6Et0Q\""""",vacuna llegar hacer día ministro sacar excusa,angry
1181,"""\""Es lo menos que se merece una luchadora como vos. \\nFelicitaciones @gabrielapiovan2 !! https://t.co/KKzuEtKhc9\""""",ser menos merecer luchadora vos,happy
1182,coronavirus afectará el suministro de alimentos primer problema de una posible escasez de trabajadores,coronavirus afectar suministro alimento primero problema posible escasez trabajador,fear
1183,hola estoy en modo de bloqueo porque desde PLZ me ayude Me Hyderabad PLZ pensive_face pensive_face crying_face crying_face folded_hands folded_hands,hola modo bloqueo ayudar,sad
1184,reserva de parada vuelos baratos a Hawaii Tengo familia en Kauai que no son médicamente equipados para manejar un brote si se generaliza en la isla no me importa si desea poner en cuarentena en una estancia de lujo casa de vacaciones y pensar en las vidas que están poniendo en peligro,reserva parada vuelo barato tener familia no ser médicamente equipado manejar brote si generalizar isla no importar si desear poner cuarentena estancia lujo casa vacación pensar vida poner peligro,fear
1185,buena tk u vamos a ganar la guerra contra la corona,buen u ir ganar guerra corona,happy
1186,no pasa nada se maldita LockDown,no pasar maldito,angry
1187,lo que ya no piensa que el coronavirus es un engaño perpetrado por los demócratas exactamente cuándo fue tu momento epifanía,no pensar coronavirus ser engaño perpetrado demócrata exactamente cuándo ser momento epifanía,angry
1188,por favor mantenga los primeros en responder a coronavirus en sus pensamientos recuerdan la forma en que fueron tratados por el GOP después del 9/11 cuando caían enfermos y muchos murieron una escasez de PPE y la desinformación wh es francamente criminal,favor mantenga primero responder coronavirus pensamiento recordar forma ser tratar después caer enfermo mucho morir escasez pe desinformación ser francamente criminal,fear
1189,"""\""Osakidetza empieza a aplazar cirugías no urgentes ante el incremento de la presión asistencial por COVID. \\nEn Euskadi estamos a un paso de entrar en el tercero de los cinco niveles. \\n https://t.co/2r9sUY86t9\""""",empezar aplazar cirugía no urgente incremento presión asistencial covid nen paso entrar tercero cinco nivel,sad
1190,Me explica por qué estoy preocupado por virus de la corona,explicar preocupado virus corona,fear
1191,preguntar por qué y cómo dio permiso para matar a ciudadanos indios como suicidas bio terroristas corona,preguntar cómo dar permiso matar ciudadano indio suicida terrorista corona,angry
1192,esto es lo que la necesidad del canal de noticias a la gente más destacado de Bloqueo en el hogar va en la depresión debido a las noticias negativas de la corona,ser necesidad canal noticia gente destacado bloqueo hogar ir depresión debido noticia negativo corona,sad
